"","log10T90","log10Fa","log10Ta","Alpha","Beta","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux","T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","FluenceErr","PhotonIndexErr","PeakFluxErr","log10T90Err","log10FluenceErr","log10PeakFluxErr","Redshift_crosscheck","log10z"
"GRB091018",0.643452676486187,-9.627087997,2.89655535,1.18074867,0.91,1.98015,-5.853871964,1.77,21.19187281,1.012837225,0.601065704,0.024288603,0.034497878,0.016335114,0.002061639,6.06060606060606e-08,0.145454545,0.242424242,0.0593271632973848,0.0188006269082896,0.0102217000493888,0.971,0.294686624279443
"GRB091020",1.53907609879278,-9.71219827,2.95265011,1.17417264,0.895,2.08587,-5.431798276,1.53,21.70587483,0.62324929,4.875038864,0.034480687,0.045271255,0.018244861,0.002182887,6.06060606060606e-08,0.042424242,0.181818182,0.0611908230548872,0.00711375072842337,0.0188006269582444,1.71,0.432969290874406
"GRB091029",1.59328606702046,-11.34678749,4.30368998,1.12123368,1.064,2.11535,-5.619788758,1.46,21.45058625,0.255272505,4.829610314,0.02563352,0.034224003,0.026782025,0.002,6.06060606060606e-08,0.163636364,0.060606061,0.0535069670692151,0.0109670323640116,0.0146227099269182,2.752,0.574262829707027
"GRB091127",0.851258348719075,-9.844663963,3.98466812,1.39581701,0.758,1.80187,-5.045757491,2.05,20.87872913,1.667452953,0.150359555,0.018562516,0.021935207,0.013587309,0.00244132,1.81818181818182e-07,0.042424242,1.636363636,0.00919722887858148,0.00877362590591064,0.0152830902649864,0.49,0.173186268412274
"GRB050416A",0.397940008672038,-10.5559552,2.99481,0.842217,0.9,2.06183,-6.435333936,3.08,21.75162856,0.688419822,0.44407209,0.0484,0.070765,0.0149485,0.005,2.24242424242424e-08,0.133333333,0.290909091,0.0771432233016977,0.0265360347448561,0.0258893879011433,0.6528,0.218220304175545
"GRB050820A",1.41497334797082,-10.01818139,3.750945731,1.136499703,0.9,1.96878,-5.463441557,1.25,21.61964524,0.389166084,22.67611617,0.266741013,0.238477529,0.012525701,0.0405,1.46666666666667e-07,0.072727273,0.139393939,0.378773543216465,0.0185164313807078,0.0247093953343968,2.6147,0.558072259099146
"GRB050922C",0.653212513775344,-9.477555766,2.52429,1.22035,1.064,2.2119,-5.790484985,1.37,21.44930866,0.860936621,0.450457546,0.03194,0.034305,0.013275,0.013,3.27272727272727e-08,0.036363636,0.193939394,0.0434736059021067,0.0087736258877956,0.0116014887850822,2.198,0.504878459410216
"GRB051016B",0.602059991327962,-11.59006688,4.25742,1.14771,0.73,1.89482,-6.769551079,2.4,21.71466751,0.113943352,0.469570015,0.04535,0.058175,0.04854,0.005,1.33333333333333e-08,0.139393939,0.096969697,0.0509829165954318,0.0340623123358059,0.0323949264220647,0.9364,0.286995073968852
"GRB051109A",1.5705429398819,-10.51999306,3.91123,1.22299,1.06,2.06584,-5.657577319,1.51,21.97057233,0.595496222,7.089588968,0.04815,0.04637,0.019155,0.054794381,1.64848484848485e-07,0.121212121,0.418181818,0.0827679937571121,0.0325421760411363,0.046094938049931,2.346,0.524525936626376
"GRB051109B",1.15533603746506,-11.57511836,3.65548,1.251,1.06,2.12549,-6.591760035,1.97,21.36742302,-0.259637311,3.778168861,0.0922,0.126645,0.12217,0.01,2.48484848484848e-08,0.145454545,0.078787879,0.114743908253916,0.0421545307074316,0.0622129838718209,0.08,0.0334237554869497
"GRB060223A",1.05307844348342,-10.9636,2.78682,1.1892,0.81,2.01015,-6.171984936,1.74,22.49782636,0.130333768,1.095536415,0.1982,0.23477,0.18005,0.045,2.90909090909091e-08,0.072727273,0.109090909,0.0421049044034133,0.018772691379267,0.0350945035988966,4.41,0.733197265106569
"GRB060502A",1.45331834004704,-10.55284197,3.3865,0.897152,0.87,2.02719,-5.63638802,1.46,21.45692297,0.227886705,9.827838,0.05675,0.075085,0.0205255,0.015,6.18181818181818e-08,0.048484848,0.127272727,0.150287880719686,0.0116222057308489,0.0327064159666924,1.5026,0.398391440229475
"GRB060510B",2.43964842956347,-12.2656,4.43617,1.00735,1.38,2.1317,-5.390405591,1.78,22.00215742,-0.244125144,21.28954544,0.2206,0.31628,0.2313695,0.03,1.06666666666667e-07,0.048484848,0.066666667,0.033597137016063,0.0113820011696242,0.0507946764616626,4.9,0.770852011642144
"GRB060607A",2.00945089579869,-11.02273379,4.37412,1.81152426,0.564,1.61002,-5.59345982,1.47,21.79614607,0.146128036,31.06976133,0.0761,0.02584,0.163115,0.012077154,6.78787878787879e-08,0.048484848,0.078787879,0.132029607628865,0.0115605423699981,0.0244408150465787,3.0749,0.610116955411928
"GRB060904B",2.23426412437879,-11.11633856,3.87074,1.36265,1.58,2.18877,-5.790484985,1.64,21.59122827,0.387389826,11.34305921,0.08665,0.081295,0.04215,0.136141492,8.66666666666667e-08,0.084848485,0.127272727,0.0287243616490079,0.0232338611473106,0.0226532143754057,0.703,0.231214647962601
"GRB060912A",0.698970004336019,-10.1079054,2.455171016,1.045731532,0.63,1.8948,-5.869666232,1.74,21.36738202,0.933487288,0.58,0.147419953,0.156564864,0.028937785,0.0785,3.75757575757576e-08,0.054545455,0.266666667,0.0503781599007772,0.0120881068052489,0.0134978860076092,0.937,0.287129620719111
