"","log10PeakFlux","log10NH","PhotonIndex","log10Ta","log10Fa","Alpha","log10T90","log10PeakFluxSqr","log10NHSqr","PhotonIndexSqr","log10TaSqr","log10FaSqr","AlphaSqr","log10T90Sqr","Response"
"071020A",0.924279286,20.99642367,1.11,2.311950854,-9.169411331,1.119196934,0.62324929,0.85429219852867,440.849806930136,1.2321,5.34511675131133,84.0781041570712,1.252601777075,0.388439677485504,0.497620649781288
"071025A",0.204119983,21.07108335,1.79,3.57649803858865,-10.7617561561862,1.42536037804911,2.376832349,0.0416649674599203,443.990553542647,3.2041,12.7913382200285,115.815395565211,2.03165220731231,5.64933201525286,0.778151250383644
"071112C",0.903089987,20.5643192,1.09,3.27585923890932,-10.3930085480411,1.18085394893532,1.176091259,0.81557152461966,422.891224159489,1.1881,10.7312537531476,108.014626679654,1.39441604871614,1.38319064949621,0.260071387985075
"071117A",1.053078443,22.04291793,1.57,3.901990464,-11.23542972,1.104952391,0.819543936,1.1089742071113,485.890230868716,2.4649,15.2255295811469,126.234880993059,1.22091978637662,0.671652263034372,0.367542273520577
"080310A",0.113943352,20.99187128,2.32,4.32608056,-11.3990271,1.59590648,2.560456622,0.0129830874649959,440.658659836089,5.3824,18.7149730116099,129.937818826534,2.54691749290599,6.55593811314365,0.534026106056135
"080319B",1.394451681,20.8771334,1.04,5.36799912,-12.15181088,1.42250979,1.68090255756894,1.94449549064373,435.854699001396,1.0816,28.8154145523208,147.666507663286,2.02353410264584,2.82543340804182,0.287129620719111
"080319C",0.716003344,21.75037415,1.37,3.52931111054378,-10.6371411966355,1.70009079954593,1.531478917,0.512660788619182,473.078775664988,1.8769,12.4560369150078,113.14877283716,2.89030872670072,2.34542767321549,0.469822015978163
"080330A",-0.045757491,21.69090721,2.53,3.62424404637254,-10.5087382506779,1.28360558544294,1.783188691,0.00209374798261508,470.49545559283,6.4009,13.1351449076668,110.43357962126,1.64764329898031,3.17976190771029,0.399673721481038
"080411A",1.635483747,21.57289018,1.75,4.20932562,-10.11350927,1.28909841,1.748188027,2.67480708670116,465.389590718341,3.0625,17.7184221751884,102.283069754376,1.66177471066453,3.05616137774615,0.307496037913213
"080413B",1.271841607,21.31329763,1.26,4.37673481522887,-11.1324619410683,1.8383898530557,0.903089987,1.61758107329634,454.256655864964,1.5876,19.1558076428365,123.931708869333,3.37967725181815,0.81557152461966,0.322219294733919
"080516A",0.255272505,22.03528962,1.82,3.77452827,-11.12090412,0.94016916,0.763427994,0.065164051808975,485.55398863728,3.3124,14.2470636610292,123.674508446233,0.883918049415106,0.582822302022864,0.6232492903979
"080603A",0.365016103959771,20.9181675200872,1.8144820875664,3.73864181146003,-10.6748451794873,1.20831786479774,1.77815125,0.13323675614997,437.569732398432,3.29234524609934,13.9774425943971,113.952319606024,1.46003206238938,3.16182186787656,0.429752280002408
"080603B",0.544068044,21.31611509,1.21,3.89340478211709,-10.6145409003128,1.34182101090756,1.77815125,0.296010036501986,454.376762530126,1.4641,15.1586007974122,112.668478524414,1.80048362531299,3.16182186787656,0.566943971856554
"080607A",1.36361198,22.38386741,1.31,3.46298403,-10.0540393,1.7256074,1.899984563,1.85943763199952,501.03752022846,1.7161,11.992258392035,101.083706245944,2.97772089893476,3.6099413396383,0.605951157564873
"080710A",0,20.89722339,1.47,4.09266933,-11.23284413,1.52133785,2.077948999,0,436.693945411563,2.1609,16.7499422447226,126.176787248875,2.31446885384262,4.3178720424451,0.265996370495079
"080810A",0.301029996,21.45079548,1.34,3.2687548,-9.931814138,1.44529526,2.03666881,0.09061905849176,460.136626724788,1.7956,10.684757942523,98.6409320717767,2.08887838857847,4.14801984162682,0.638489256954637
"080905B",-0.301029996,22.33533151,1.78,3.67820615,-10.11125904,1.36946226,2.10720997,0.09061905849176,498.867033661599,3.1684,13.5292004818978,102.237559373982,1.87542688156431,4.4403338576674,0.528145078253106
"080916A",0.431363764,21.7431239,1.17,3.60698,-10.75269955,0.998947,1.77815125,0.186074696892248,472.763436930751,1.3689,13.0103047204,115.62054761257,0.997895108809,3.16182186787656,0.227552503379865
"080928A",0.322219295,21.51035195,1.77,4.08450503,-11.1260984,1.76031774,2.368584372,0.103825274070297,462.695241012869,3.1329,16.6831813400953,123.790065606483,3.09871854575871,5.61019192728263,0.430075055551939
"081007A",0.414973348,21.69605744,2.51,3.58176278,-10.58502665,1.00469263,0.958563883,0.172202879550329,470.718908439779,6.3001,12.8290246121933,112.04278918121,1.00940728077632,0.918844717792038,0.184549481320697
