"split","best_r_idx","best_r_val","best_rmse_idx","best_rmse_val","best_mad_idx","best_mad_val","n_candidates","minutes","best_r_formula"
33,2050,0.5451,2050,0.1683,11973,0.1215,17,2.9,"Response ~  (log10FaSqr+log10TaSqr+PhotonIndexSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
34,3242,0.6165,3242,0.168,1730,0.1278,17,2.8,"Response ~  (PhotonIndexSqr+log10NHSqr+log10PeakFluxSqr+Alpha+log10Fa)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+log10T90+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
35,597,0.5748,597,0.175,597,0.1096,17,2.8,"Response ~  (log10FaSqr+log10Fa+log10Ta+log10PeakFlux)^2+log10NH+PhotonIndex+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr"
36,8739,0.5368,885,0.1721,885,0.1042,17,2.8,"Response ~  (log10T90Sqr+log10FaSqr+PhotonIndexSqr+log10T90+log10Fa+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+Alpha+log10PeakFluxSqr+log10NHSqr+log10TaSqr+AlphaSqr"
37,378,0.6441,1430,0.1675,378,0.1143,17,2.8,"Response ~  (AlphaSqr+PhotonIndexSqr+log10Fa)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+log10TaSqr+log10FaSqr+log10T90Sqr"
38,3832,0.6704,3832,0.1655,1741,0.1124,16,2.8,"Response ~  (log10FaSqr+log10TaSqr+PhotonIndexSqr+log10Fa+log10NH+log10PeakFlux)^2+PhotonIndex+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
39,978,0.4432,978,0.1494,379,0.0942,17,2.9,"Response ~  (log10PeakFluxSqr+log10Fa+log10Ta+PhotonIndex)^2+log10PeakFlux+log10NH+Alpha+log10T90+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
40,145,0.6494,145,0.1314,145,0.091,17,2.8,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr"
41,670,0.564,670,0.1857,3823,0.0962,17,2.8,"Response ~  (log10T90Sqr+log10FaSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
42,1766,0.6249,663,0.178,2930,0.1318,16,3,"Response ~  (log10FaSqr+log10TaSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10NH+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+AlphaSqr+log10T90Sqr"
43,970,0.4796,970,0.1651,497,0.1114,17,2.9,"Response ~  (log10T90Sqr+log10FaSqr+PhotonIndexSqr+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+log10TaSqr+AlphaSqr"
44,6283,0.4698,6283,0.1734,3364,0.1154,17,2.8,"Response ~  (AlphaSqr+PhotonIndexSqr+log10NHSqr+log10T90+Alpha+log10Fa)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+log10PeakFluxSqr+log10TaSqr+log10FaSqr+log10T90Sqr"
45,250,0.4625,250,0.1803,4772,0.1012,16,2.8,"Response ~  (log10Fa+log10Ta+PhotonIndex)^2+log10PeakFlux+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
46,145,0.3163,145,0.1878,1039,0.1182,17,2.7,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr"
47,2715,0.5512,2715,0.1645,2839,0.1154,17,2.9,"Response ~  (log10T90Sqr+log10FaSqr+log10Fa+log10Ta+PhotonIndex)^2+log10PeakFlux+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
48,1759,0.5165,145,0.164,2050,0.0918,17,2.9,"Response ~  (log10FaSqr+log10NHSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10NH+log10Ta+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr"
49,1487,0.4544,663,0.162,4156,0.0945,17,2.8,"Response ~  (log10FaSqr+log10Fa+PhotonIndex+log10NH+log10PeakFlux)^2+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr"
50,1697,0.612,1697,0.1476,1697,0.0903,17,2.9,"Response ~  (log10FaSqr+log10Fa+log10Ta+PhotonIndex+log10PeakFlux)^2+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr"
51,2940,0.4399,1281,0.1718,2669,0.1018,17,2.8,"Response ~  (log10T90Sqr+AlphaSqr+log10FaSqr+Alpha+PhotonIndex)^2+log10PeakFlux+log10NH+log10Ta+log10Fa+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr"
