log10T90,Gamma,log10Fluence,PhotonIndex,log10NH,log10PeakFlux,T90Err,log10FluenceErr,PhotonIndexErr,log10PeakFluxErr,Redshift_crosscheck,GRB
0.84509804,2.26662,-6.468521083,2.16,21.67796993,0.0,0.963279858,0.063866836,0.25,0.086858896,0.6235,100418A
1.568201724,2.17077,-6.327902142,2.42,20.53466438,0.146128036,3.773539953,0.083162773,0.32,0.062042069,1.755,100425A
1.716003344,1.9368495003839,-6.15490196,1.23,20.84356974,-0.397940009,22.56299024,0.0580980942149184,0.25,0.101108910335356,0.5201,100508A
1.924279286,2.25722,-5.853871964,1.62,22.05240534,-0.22184875,14.87086076,0.031021034,0.14,0.072382414,4.772,100513A
2.2955671,2.11575,-5.22184875,1.73,21.52730245,0.633468456,23.25931459,0.014476483,0.06,0.020199743,3.6,100704A
2.297760511,1.90402,-4.420216403,1.18,21.52592288,0.707570176,12.6465837,0.0,0.02,0.017031156,1.567,100728A
2.241795431,1.89414,-5.045757491,1.47,20.89608288,0.397940009,9.468174905,0.009650988,0.04,0.034743559,1.44,100814A
0.462397998,1.91138,-5.698970004,0.73,21.34783526,1.037426498,0.621173086,0.021714724,0.24,0.015937412,0.804,100816A
2.64246452,1.98285,-5.677780705,1.52,21.53188109,-0.096910013,22.56299024,0.062042069,0.21,0.10857362,1.408,100901A
2.058426024,2.02817,-4.920818754,1.78,21.96198081,1.004321374,1.591145486,0.0,0.03,0.017199781,1.727,100906A
1.531478917,1.85684,-5.677780705,1.56,20.49692965,-0.22184875,5.420624286,0.082722758,0.16,0.217147241,0.55,101219B
3.036628895,1.81612,-5.721246399,1.82,21.11770968,-0.338610804708651,45.6827768,0.091430417,0.32,0.109322034911467,0.33,101225A
2.409933123,1.93577,-4.769551079,1.8,21.37042981,0.556302501,5.385164807,0.0,0.04,0.024127471,2.21,110205A
1.681241237,1.96436,-5.229147988,1.83,21.56708403,0.204119983,16.0,0.029443694,0.12,0.162860431,1.46,110213A
1.413299764,1.89199,-4.387216143,0.86,22.02088312,1.487138375,0.566646277,0.010592548,0.1,0.0141464,1.77,110422A
1.0,1.90907,-5.0,0.88,21.13638759,0.130333768,3.405445073,0.017371779,0.25,0.019301977,1.613,110503A
1.113943352,1.85342,-4.928117993,1.25,22.0746007,1.731588765,4.0,0.007360923,0.12,0.008863153,0.82,110715A
1.588831726,1.85145,-5.22184875,1.15,21.95954126,1.041392685,11.66246372,0.007238241,0.05,0.011844395,2.83,110731A
2.58546073,2.04784,-5.327902142,1.84,21.39050236,0.041392685,30.24009631,0.027720924,0.1,0.078962633,1.858,110801A
1.681241237,2.33721,-6.48148606,2.32,22.00215742,-0.397940009,22.627417,0.105283511,0.43,0.217147241,1.348,110808A
2.012837225,1.95985,-5.397940009,1.58,22.06812647,0.204119983,18.0548006,0.021714724,0.11,0.081430215,3.36,110818A
1.802500068,1.94053,-5.27572413,1.86,22.17059025,0.806179974,2.36485691,0.024582707,0.09,0.047500959,4.9898,111008A
1.424881637,2.11569,-6.055517328,1.49,21.56675205,0.079181246,8.820503864,0.039481317,0.14,0.072382414,2.893,111107A
2.462397998,2.55463,-5.13667714,1.68,21.35034301,-0.045757491,88.09086218,0.017847718,0.07,0.048254942,3.1516,111123A
2.505149978,1.81212,-4.443697499,1.48,21.14009932,-0.301029996,29.55180898,0.012063736,0.03,0.086858896,0.677,111209A
2.005180513,2.03824,-5.070581074,2.27,21.41342718,1.093421685,5.415902489,0.010218694,0.06,0.017511874,0.714,111228A
1.36660971,2.20884,-5.744727495,2.08,21.451745,0.342422681,19.64696058,0.024127471,0.11,0.059221975,2.943,120118B
2.404491618,1.61077,-4.769551079,1.38,22.02202812,1.012837225,0.179108908,0.0,0.04,0.012649354,3.1,120119A
1.798650645,1.75797,-5.443697499,1.52,22.16619025,0.591064607,7.52171255,0.012063736,0.06,0.022271512,2.813,120327A
1.587710965,1.89579,-5.795880017,1.85,21.70983536,0.079181246,16.0,0.027143405,0.13,0.072382414,2.876,120404A
0.728353782,2.32199,-6.638272164,1.19,21.41342718,-0.22184875,2.236067977,0.075529475,0.24,0.144764827,0.283,120422A
2.06069784,1.96823823014476,-5.59956740196432,1.73945067928945,20.8890204759374,0.15298088503652,20.80043462,0.0445850499081247,0.1906576904457,0.0796645497755468,1.405,120711A
1.854306042,1.8831,-5.619788758,1.62,21.34792103,0.462397998,36.74353317,0.018095603,0.08,0.029951344,0.8,120729A
1.698970004,2.03526,-5.721246399,1.21,22.12127744,0.477121255,31.02460027,0.068572813,0.47,0.028952965,3.796,120802A
