"formula_idx","wins","formula","r","rmse","bias","n_appearances"
3789,1,"Response ~  (log10FaSqr+log10NHSqr+Alpha+log10Fa+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr",0.46,1.1,-0.17,4
4119,1,"Response ~  (log10FaSqr+log10NHSqr+Alpha+log10Fa+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr",0.57,1.2,-0.17,4
4134,1,"Response ~  (log10T90Sqr+log10FaSqr+Alpha+log10Fa+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10T90+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr",0.6,1.1,-0.22,1
4573,1,"Response ~  (log10FaSqr+log10TaSqr+log10NHSqr+Alpha+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10T90Sqr+AlphaSqr",0.48,1.2,-0.21,6
4954,1,"Response ~  (log10FaSqr+log10TaSqr+PhotonIndexSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10NH+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+log10T90Sqr+AlphaSqr",0.43,1.3,-0.21,3
5832,1,"Response ~  (AlphaSqr+log10T90Sqr+log10NHSqr+Alpha+log10Fa+PhotonIndex)^2+log10NH+log10PeakFlux+log10Ta+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr",0.48,1.3,0.17,2
6335,1,"Response ~  (AlphaSqr+log10T90Sqr+log10FaSqr+log10TaSqr+log10T90+log10Fa)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr",0.42,1.1,-0.0074,1
7835,1,"Response ~  (AlphaSqr+log10FaSqr+PhotonIndexSqr+log10NHSqr+log10Fa+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+log10T90+Alpha+log10PeakFluxSqr+log10TaSqr+log10T90Sqr",0.41,1.2,-0.1,2
8062,1,"Response ~  (log10FaSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+Alpha+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10T90+log10PeakFluxSqr+log10T90Sqr+AlphaSqr",0.35,1.2,-0.16,4
8122,1,"Response ~  (AlphaSqr+log10FaSqr+PhotonIndexSqr+log10NHSqr+Alpha+log10T90+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+log10PeakFluxSqr+log10TaSqr+log10T90Sqr",0.56,1.2,-0.014,1
11965,1,"Response ~  (AlphaSqr+log10T90Sqr+log10FaSqr+log10NHSqr+Alpha+log10Fa+PhotonIndex+log10PeakFlux)^2+log10NH+log10Ta+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr",0.33,1.3,0.045,1
12310,1,"Response ~  (AlphaSqr+log10FaSqr+PhotonIndexSqr+log10NHSqr+Alpha+log10T90+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10PeakFluxSqr+log10TaSqr+log10T90Sqr",0.35,1.3,-0.11,1
14102,1,"Response ~  (AlphaSqr+log10T90Sqr+log10FaSqr+PhotonIndexSqr+log10NHSqr+Alpha+log10Fa+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+log10T90+log10PeakFluxSqr+log10TaSqr",0.47,1.2,-0.13,2
