"formula_idx","wins","formula","r","rmse","bias"
50,0,"Response ~  (log10T90Sqr+PhotonIndex)^2+log10PeakFlux+log10NH+log10Ta+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr",0.48,0.17,-0.31
63,0,"Response ~  (log10PeakFluxSqr+log10Fa)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+Alpha+log10T90+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.36,0.18,-0.054
65,0,"Response ~  (PhotonIndexSqr+log10Fa)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.43,0.19,-0.11
75,0,"Response ~  (log10FaSqr+Alpha)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+log10Fa+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.62,0.17,-0.49
80,0,"Response ~  (PhotonIndexSqr+log10T90)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+log10Fa+Alpha+log10PeakFluxSqr+log10NHSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.46,0.17,-0.16
85,0,"Response ~  (log10NHSqr+log10PeakFluxSqr)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+log10Fa+Alpha+log10T90+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.58,0.15,-0.2
86,0,"Response ~  (PhotonIndexSqr+log10PeakFluxSqr)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+log10Fa+Alpha+log10T90+log10NHSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.58,0.15,-0.25
88,0,"Response ~  (log10FaSqr+log10PeakFluxSqr)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+log10Fa+Alpha+log10T90+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.5,0.17,-0.22
97,0,"Response ~  (log10FaSqr+PhotonIndexSqr)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.56,0.18,-0.49
98,0,"Response ~  (AlphaSqr+PhotonIndexSqr)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+log10TaSqr+log10FaSqr+log10T90Sqr",0.43,0.19,-0.11
110,0,"Response ~  (log10T90+log10NH+log10PeakFlux)^2+PhotonIndex+log10Ta+log10Fa+Alpha+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.56,0.14,-0.054
129,0,"Response ~  (log10Fa+log10Ta+log10PeakFlux)^2+log10NH+PhotonIndex+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.52,0.17,0.21
144,0,"Response ~  (log10TaSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.48,0.17,0.038
156,0,"Response ~  (log10PeakFluxSqr+log10T90+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10Fa+Alpha+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.49,0.19,-0.51
178,0,"Response ~  (log10FaSqr+log10TaSqr+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+AlphaSqr+log10T90Sqr",0.43,0.17,-0.053
185,0,"Response ~  (log10Fa+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.49,0.16,-0.091
192,0,"Response ~  (log10FaSqr+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.59,0.15,-0.19
194,0,"Response ~  (log10T90Sqr+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr",0.52,0.16,-0.25
223,0,"Response ~  (log10NHSqr+log10T90+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.6,0.17,-0.54
224,0,"Response ~  (PhotonIndexSqr+log10T90+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+Alpha+log10PeakFluxSqr+log10NHSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.35,0.16,0.16
226,0,"Response ~  (log10FaSqr+log10T90+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+Alpha+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.53,0.15,-0.27
230,0,"Response ~  (PhotonIndexSqr+log10PeakFluxSqr+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+Alpha+log10T90+log10NHSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.56,0.16,-0.29
241,0,"Response ~  (log10FaSqr+PhotonIndexSqr+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.37,0.17,-0.14
257,0,"Response ~  (log10FaSqr+log10Ta+PhotonIndex)^2+log10PeakFlux+log10NH+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.53,0.16,-0.27
