GRB,Redshift_crosscheck,log10T90,log10Fa,log10Ta,Alpha,Beta,Gamma,log10Fluence,PhotonIndex,log10NH,log10PeakFlux,T90Err,log10FaErr,log10TaErr,AlphaErr,BetaErr,log10FluenceErr,PhotonIndexErr,log10PeakFluxErr,is_optical
050319A,3.24,2.183383742,-10.70553377,3.73997,0.863159,0.971,2.01045,-5.882728704,2.02,20.93735437,0.181843588,10.95539119,0.04165,0.06193,0.034558,0.009,0.049065331,0.19,0.060001211,0
050401A,2.9,1.506369717,-9.653647026,3.12435,0.984108,0.9995,1.78711,-5.085128182,1.4,22.12570242,1.029383778,0.6253575,0.019455,0.02833,0.0260615,0.0174145,0.016167167,0.07,0.037341208,0
050408A,1.24,1.531478917,-11.087209594156892,3.920383722899916,1.127017438738505,0.8309276300682128,1.9671673321089769,-5.985291674588619,1.926285947337184,20.75818616770858,0.2216353414959355,,0.4781197222909457,0.28382308420856295,0.1904270975069911,0.12329354750353244,0.0541910039244246,0.2493739892069496,0.0780516112002839,1
050416A,0.6528,0.397940009,-10.5559552,2.99481,0.842217,0.9,2.06183,-6.435333936,3.08,21.75162856,0.688419822,0.44407209,0.0484,0.070765,0.0149485,0.005,0.043784457,0.22,0.04271749,0
050502A,3.79,1.301029996,-10.786755190964284,3.6707888205766754,1.4385195007523153,0.9112509931859896,1.967051465223916,-5.959056988742906,1.5837013438142045,21.018163759441723,0.3305718468073317,,0.4463642229476745,0.29462692652293376,0.18699974119259866,0.10200765236101694,0.0347486663233463,0.1871315939125596,0.0657749268162652,1
050502B,3.793,1.243038049,-10.716569246810717,3.558676306415062,1.4059057976249911,0.9435307947581888,1.9781231878612309,-5.907266041523986,1.4939816936122414,21.034720149749216,0.3001529114683485,,0.39173923654046483,0.3162445127083997,0.21504536232566662,0.08719601714673203,0.0295798799821603,0.14,0.0671099909495084,1
050505A,4.27,1.770115295,-11.04817696,4.270583544,1.462094791,0.973,2.01835,-5.603800653,1.41,22.23063027,0.267171728,6.838970679,0.03272177,0.030067592,0.035926291,0.0005,0.031220366,0.12,0.07277367,0
050525A,0.61,0.944482672,-10.360698775890388,3.4500831884844736,1.2300807548366892,0.883123999058097,2.08914,-4.815308569,1.0,21.2788016,1.620136055,,0.4077196326063355,0.31371792190621006,0.19363673103497137,0.10252792329581567,0.006273143,0.1,0.009789852,1
050603A,2.82,1.322219295,-10.406297256771484,3.99962247604313,1.6564594334233904,0.9514051914764184,1.9095112702293149,-5.196542884,1.16,21.63005546,1.33243846,,0.38755808451142215,0.30650744481427306,0.2306852038297975,0.09919990001567136,-0.0006217656979968,0.06,0.0038290748542292,1
050730A,3.967,2.194514342,-10.09854168,4.05018,2.38763,0.5615,1.6177,-5.623423043,1.53,21.73850309,-0.259637311,18.03329907,0.0266,0.017795,0.0538,0.000210492,0.027736454,0.11,0.110547686,0
