GRB,z,class,log10Faopt,log10FaErr_opt,log10Taopt,logTaErr_opt,Alpha_opt,AlphaErr_opt,Beta_opt,betaErr_opt,PhotonIndex,PhotonIndexErr,Gamma,log10Fluence,log10FluenceErr,log10NH,log10PeakFlux,log10PeakFluxErr,log10T90
061007A,1.26,L,-8.76,0.07,2.17,0.03,1.75,0.01,1.07,0.19,1.03,0.03,1.99824,-4.35261703,0.005497151,21.74186197,1.164352856,0.011006093,1.876852648
061021A,4.6,L,-12.4195,0.0677,4.823673,0.067494,1.736351,0.108429,0.88,0.03636,1.3,0.06,1.99282,-5.528708289,0.014818832,20.87141063,0.78604121,0.019191409,1.664641976
061121A,1.31,L,-12.27,0.04,3.85,0.05,1.0,0.01,0.81,0.0363,1.41,0.03,1.90181,-4.863279433,0.006308365,21.75351565,1.324282455,0.009468031,1.90982337
061126A,1.1588,L,-12.3053,0.08165,3.5801,0.101225,0.922285,0.025959,0.82,0.09,1.32,0.06,1.926924191755202,-5.169411331,0.019099409384381413,21.38058204,0.989449818,0.024669381193097632,2.281033367
070110A,2.35,XRR,-12.9,0.06,4.44,0.1,0.99,0.05,1.0,0.14,1.58,0.12,2.08596,-5.790484985,0.028952965,21.3989672,-0.22184875,0.086858896,1.946550511
070125A,1.55,L,-12.7448,0.027168,5.250332,0.017308,1.779596,0.052941,0.59,0.1,1.667192165248273,0.17714240780911827,1.9514263271976688,-5.495279035397339,0.03307199074954037,21.11682510597685,0.4613667003967956,0.05936023523487917,1.77815125
070208A,1.17,XRR,-12.723,0.043394,2.851438,0.100608,0.502246,0.017994,1.03,0.11,1.94,0.36,2.20341,-6.351639989,0.098570208,21.8647258,-0.045757491,0.106160873,1.806179974
070318A,0.836,L,-11.1627,0.0748,3.01049,0.10326,0.999465,0.106657,0.85,0.5757,1.42,0.08,1.97117,-5.605548319,0.019613299,21.87762816,0.245512668,0.037013734,1.872738827
070411A,2.95,XRR,-12.4597,0.115184,3.319089,0.105245,1.33119,0.219221,1.09,0.11,1.72,0.1,2.2428,-5.568636236,0.02493172,22.32139542,-0.040958608,0.062042069,2.089021501
070419A,0.97,XRF-SN-D,-12.67,0.12,3.27,0.07,1.4,0.05,0.6,0.36,2.35,0.25,2.18444,-6.253365801,0.064599358,21.64791964,-0.698970004,0.217147241,2.062957834
070612A,0.671,L,-12.376,0.35375,5.2145,0.14528,2.69428,0.53173,1.1,0.3333,1.69,0.1,1.9756793909954788,-4.974694135,0.024623678,21.255997117337785,0.178976947,0.109292651,2.566790912
070810A,2.17,XRR,-12.45,0.11,3.77,0.12,1.5,0.11,1.01,0.08,2.04,0.14,2.17076,-6.161150909,0.037764738,21.93100401,0.278753601,0.045715209,1.041392685
071003A,1.6,L,-13.16,0.07,5.51,0.06,2.17,0.15,0.35,0.11,1.36,0.07,1.91015,-5.080921908,0.015697391,20.86974084,0.799340549,0.027574253,2.170643023
071010A,0.99,L,-13.1705,0.060832,5.172418,0.033281,2.253787,0.122333,0.61,0.12,2.33,0.37,2.33496,-6.698970004,0.086858896,22.13954852,-0.096910013,0.162860431,0.77815125
071010B,0.947,L,-11.8207,0.0527,3.16101,0.19345,0.633623,0.053512,0.68,0.14,1.53,0.22,2.04061,-5.356547324,0.009870329,21.30047157,0.886490725,0.016920564,1.552668216
071025A,5.0,XRR,-12.58,0.03,3.37,0.02,1.41,0.01,0.93,0.05,1.79,0.05,1.975026602141059,-5.187086643,0.021297834433594093,21.07108335,0.204119983,0.07784229622361662,2.376832349
