"","log10T90","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux","T90Err","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","log10T90Err","Redshift_crosscheck","log10z"
"090423A",0.989894564,1.8158,-6.229147988,0.8,22.7516324,0.230448921,1.061728761,0.029443694,0.5,0.051093469,0.047195797531391,8.26,0.966610986681934
"090424A",1.681241237,1.96315,-4.677780705,1.19,21.63012977,1.851258349,2.27250697,0,0.15,0.012233647,0.0205611924585667,0.544,0.188647295999717
"090519A",1.806179974,1.46604,-5.920818754,1.02,22.13069392,-0.22184875,8.24011649,0.036191207,0.2,0.144764827,0.0559162050267847,3.85,0.685741738602264
"090529A",1.837651558,2.22623,-6.167491087,2,22.32139542,-0.397940009,10.5274432,0.10857362,0.3,0.108573621,0.0664439832683159,2.625,0.559308010907013
"090530A",1.681241237,2.03975,-5.958607315,1.61,20.90942658,0.397940009,35.77708764,0.039481317,0.17,0.052115338,0.323703994876218,1.266,0.355259905527378
"090618A",2.05388479,1.82831,-3.978810701,1.42,21.39200012,1.589949601,0.593538562,0.004136138,0.08,0.008931506,0.00227692361547263,0.54,0.187520720836463
"090726A",1.773054693,2.4288,-6.065501549,2.25,22.02689264,-0.15490196,4.559271868,0.050499358,0.19,0.124084138,0.0333906680510945,2.71,0.569373909615046
"090809A",0.73239376,1.94644,-6.468521083,1.34,21.91952315,0.041392685,1.216253263,0.063866836,0.24,0.078962633,0.0978170519448906,2.737,0.572523097849638
"090812A",1.824125834,1.88559,-5.236572006,1.24,21.77771022,0.556302501,14.65837332,0.014975672,0.05,0.024127471,0.0954430381608785,2.452,0.538070787043172
"090927A",0.342422681,2.06549,-6.698970004,1.8,21.01785522,0.301029996,0.400898978,0.065144172,0.2,0.043429448,0.0791400972158072,1.37,0.374748346010104
"091018A",0.639486489,1.98015,-5.853871964,1.77,21.19187281,1.012837225,0.601065704,0.031021034,0.24,0.016865805,0.0598714492362227,0.971,0.294686624279443
"091020A",1.590061231,2.08587,-5.431798276,1.53,21.70587483,0.62324929,4.875038864,0.011737689,0.07,0.031021034,0.0544128110188212,1.71,0.432969290874406
"091024A",1.995196292,1.49013,-5.214670165,1.2,22.23512426,0.301029996,19.64696058,0.021358745,0.08,0.065144172,0.0862746871400456,1.09,0.320146286111054
"091029A",1.593286067,2.11535,-5.619788758,1.46,21.45058625,0.255272505,4.829610314,0.018095603,0.27,0.024127471,0.0535069670717355,2.752,0.574262829707027
"091109A",1.681241237,1.96352,-5.795880017,1.31,21.89596701,0.113943352,16.70810678,0.05428681,0.25,0.133629071,0.15117163716416,3.076,0.610234175334389
"091127A",0.84260924,1.80187,-5.045757491,2.05,20.87872913,1.667452953,0.150359555,0.014476483,0.07,0.025217099,0.0093822306004846,0.49,0.173186268412274
"091208B",1.173186268,2.03333,-5.48148606,1.74,21.91211094,1.181843588,2.897723268,0.026320878,0.11,0.028572005,0.0844607534610546,1.063,0.314499227973151
"100219A",1.274157849,1.58721,-6.431798276,1.34,21.25883595,-0.397940009,11.8942948,0.070426132,0.25,0.10857362,0.274767372388661,4.67,0.753583058892907
"100316B",0.579783597,2.23535,-6.698970004,2.23,21.41315218,0.113943352,0.445223532,0.043429448,0.18,0.033407268,0.0508837165764397,1.18,0.338456493604605
"100316D",2.717570654,2.49431,-6.522878745,2.29,21.60728985,-1,1.409113169,0.115811862,0.41,0,0.0011726260314046,0.06,0.0253058652647703
"100418A",0.84509804,2.26662,-6.468521083,2.16,22.340573,0,0.963279858,0.063866836,0.25,0.086858896,0.059763875267383,0.6235,0.21045229296202
"100425A",1.568201724,2.17077,-6.327902142,2.42,20.53466438,0.146128036,3.773539953,0.083162773,0.32,0.062042069,0.0442926372724909,1.755,0.440121603187804
"100508A",1.716003344,1.9368495003839,-6.15490196,1.23,20.84356974,-0.397940009,2.27250697,0.0580980942149184,0.25,0.101108910335356,0.0189795622370722,0.5201,0.181872159010334
"100513A",1.924279286,2.25722,-5.853871964,1.62,22.05240534,-0.22184875,14.87086076,0.031021034,0.14,0.072382414,0.0768849139302361,4.772,0.761326322421457
"100704A",2.2955671,2.11575,-5.22184875,1.73,21.52730245,0.633468456,23.25931459,0.014476483,0.06,0.020199743,0.0511462884983093,3.6,0.662757831681574
"100728A",2.297760511,1.90402,-4.420216403,1.18,21.52592288,0.707570176,12.6465837,0,0.02,0.017031156,0.0276692267863542,1.567,0.409425868671443
"100814A",2.241795431,1.89414,-5.045757491,1.47,20.89608288,0.397940009,9.468174905,0.009650988,0.04,0.034743559,0.0235643330529017,1.44,0.387389826338729
"100816A",0.462397998,1.91138,-5.698970004,0.73,21.34783526,1.037426498,0.621173086,0.021714724,0.24,0.015937412,0.0930248425840856,0.804,0.256236533205923
"100901A",2.64246452,1.98285,-5.677780705,1.52,21.53188109,-0.096910013,22.56299024,0.062042069,0.21,0.10857362,0.0223211438768381,1.408,0.381656482585787
"100906A",2.058426024,2.02817,-4.920818754,1.78,21.96198081,1.004321374,1.591145486,0,0.03,0.017199781,0.00604043448603348,1.727,0.43568513794163
"101219B",1.531478917,1.85684,-5.677780705,1.56,20.49692965,-0.22184875,5.420624286,0.082722758,0.16,0.217147241,0.0692396240032236,0.55,0.190331698170291
"101225A",3.036628895,1.81612,-5.721246399,1.82,21.11770968,-0.338610804708651,0.593538562,0.091430417,0.32,0.109322034911467,0.000236921436110614,0.33,0.123851640967086
"110205A",2.409933123,1.93577,-4.769551079,1.8,21.37042981,0.556302501,2.937133306,0,0.04,0.024127471,0.00496334937114051,2.21,0.506505032404872
"110213A",1.681241237,1.96436,-5.229147988,1.83,21.56708403,0.204119983,16,0.029443694,0.12,0.162860431,0.14476482742628,1.46,0.390935107103379
"110422A",1.413299764,1.89199,-4.387216143,0.86,22.02088312,1.487138375,0.566646277,0.010592548,0.1,0.0141464,0.00950159657676303,1.77,0.442479769064449
