"","log10PeakFlux","log10NH","log10Ta","PhotonIndex","log10Fa","Alpha","log10T90","Beta","Gamma","log10Fluence","log10PeakFluxSqr","log10NHSqr","log10TaSqr","PhotonIndexSqr","log10FaSqr","AlphaSqr","log10T90Sqr","BetaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"050416A",0.688419822,21.75162856,2.99481,3.08,-10.5559552,0.842217,0.397940008672038,0.9,2.06183,-6.435333936,0.473921851322512,473.133345012208,8.9688869361,9.4864,111.428190184407,0.709329475089,0.158356250501901,0.81,4.2511429489,41.4135228678333,0.0771432233016977,0.0484,0.070765,0.0149485,0.005,0.0265360347448561,0.133333333,0.0258893879011433,"050416A",0.6528,0.218220304175545
"050502A",0.113943352,21.45692297,3.73794415289721,1.53,-10.7726789281035,1.43041424510138,2.07918124604762,0.880582080639444,1.93554,-5.882728704,0.0129830874649959,460.399543340514,13.9722264901784,2.3409,116.050611288006,2.04608491258896,4.32299465391615,0.775424800743292,3.7463150916,34.6064970048655,0.021146889716851,0.796724147892769,0.603223646995502,0.286240477720597,0.203765621041754,0.0510934685037089,0.066666667,0.144764827428965,"050502A",3.79,0.680335513414563
"050502B",-0.207608311,21.4933967,3.70789293518166,2.2,-10.6881233525662,1.4042114517754,2.23578087032756,0.885290691295566,1.96436,-5.585026652,0.0431012107962727,461.966101703571,13.7484700187701,4.84,114.23598079967,1.97180980129718,4.99871610012266,0.783739608094582,3.8587102096,31.1925227035503,0.0593271632973848,0.787928370008756,0.589606325051618,0.295655024448828,0.203269253004736,0.0354526107425099,0.103030303,0.0329010970302395,"050502B",3.793,0.680607428991788
"050505A",0.267171728,22.23063027,4.270583544,1.41,-11.04817696,1.462094791,1.7701152947871,0.973,2.01835,-5.603800653,0.071380732242506,494.20092220144,18.2378838062836,1.9881,122.062214139475,2.13772117786933,3.13330815683923,0.946729,4.0737367225,31.4025817585632,0.0504266082816271,0.03272177,0.030067592,0.035926291,5e-04,0.018921434167657,0.072727273,0.0441052545788047,"050505A",4.27,0.721810615212547
"050525A",1.037426498,21.89473409,3.57251982168546,1.1,-10.3929086278514,1.24906322518828,1.55059520748933,0.867076132323216,1.8557,-5.657577319,1.07625373875254,479.379380871808,12.7628978763355,1.21,108.012549746867,1.56015894051776,2.40434549748887,0.751821019244587,3.44362249,32.0081811204632,0.0334396932055774,0.778574979009116,0.60828828058393,0.279464807320198,0.207188602885994,0.0219340647449938,0.024242424,0.131604388703391,"050525A",0.61,0.20682587603185
"050603A",0.688419822,20.72655851,4.00295939274777,1.68,-10.4465321368292,1.62836806861954,2.78067727443337,0.894407944184106,1.89544,-4.698970004,0.473921851322512,429.590227668453,16.0236838999876,2.8224,109.130033685806,2.65158256689974,7.73216610455018,0.799965570619639,3.5926927936,22.0803190984918,0.11349174293958,0.77639928355529,0.588269106710906,0.286431881008206,0.207291014516553,0.0457754394646476,0.133333333,0.0526417553674108,"050603A",2.82,0.582063362911709
"050730A",-0.259637311,21.73850309,4.05018,1.53,-10.09854168,2.38763,2.19451434188247,0.5615,1.6177,-5.623423043,0.0674115332633107,472.562516593939,16.4039580324,2.3409,101.980544062697,5.7007770169,4.81589319672784,0.31528225,2.61695329,31.6228867205434,0.0500432094352208,0.0266,0.017795,0.0538,0.000210492,0.0168099723091123,0.066666667,0.0669985979550667,"050730A",3.967,0.696094159995223
"050801A",1.037426498,21.45692297,3.35723085234708,1.45,-10.1069080046337,1.32968973375195,2.05384642685225,0.875343187584318,1.92748,-5.443697499,1.07625373875254,460.399543340514,11.2709989959511,2.1025,102.149589414128,1.76807478804533,4.21828514509377,0.766225696050275,3.7151791504,29.6338424606189,0.021146889716851,0.807260695986474,0.603556714594713,0.281632086350873,0.214327244210924,0.0228576043082148,0.084848485,0.131604388703391,"050801A",1.56,0.40823996531185
"050802A",0.439332694,21.25883595,3.63973,1.54,-10.28650946,1.44729,1.27875360095283,0.8585,1.8557,-5.698970004,0.193013216017298,451.938105949012,13.2476344729,2.3716,105.812276870669,2.0946483441,1.63521077194983,0.73702225,3.44362249,32.4782591064918,0.233102740892789,0.0275,0.0326,0.03274,0.002369606,0.020661888971532,0.078787879,0.0421134043419523,"050802A",1.7102,0.433001340945038
"050803A",-0.017728767,21.34755638,4.21721,1.38,-10.86012091,1.52234,1.94398887507377,1.218,2.11696,-5.66756154,0.000314309179340289,455.718163397279,17.7848601841,1.9044,117.942226179819,2.3175190756,3.77909274641059,1.483524,4.4815196416,32.1212538096872,0.0515724807439485,0.0489,0.04766,0.048695,0.22485626,0.0165270627330643,0.066666667,0.0301593391746037,"050803A",3.5,0.653212513775344
